,price,square,type,date,juridical,bedroom,length,width,url_page,livingroom,bathroom,pool,garden,project
0,0,,Cần bán căn hộ chung cư,14/06/2023,Sổ hồng/ Sổ đỏ,3 pn,0m,0m,https://alomuabannhadat.vn/cat-lo-sau-can-ho-bien-ha-long-tang-cao-12-tycan-ke-canh-tttm-loote-0965524396-1095847.html,3 pk,2 wc,không,không,Pearl Villas
1,5E+15, 140m,Cần bán căn hộ chung cư,13/06/2023,Sổ hồng/ Sổ đỏ,4 pn,20m,7m,https://alomuabannhadat.vn/ngan-hang-siet-ban-gap-can-4-ngu-thap-v2-the-terra-an-hung-la-khe-140m2-gia-ban-545-ty-1095819.html,4 pk,4 wc,không,không,Anland Lakeview
2,8000000000, 125m,Cần bán căn hộ chung cư,6/5/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/ban-can-ho-cantavil-an-phu-can-goc-125m2-3pn-full-do-gia-8-ty-lh-0912442669-1088041.html,0 pk,0 wc,không,không,Cantavil – Premier
3,2E+15, 59m,Cần bán căn hộ chung cư,3/5/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/cat-lo-can-ho-2pn-2wc-2ty050-west-gate-ngay-trung-tam-hanh-chinh-binh-chanh-bao-thue-phi-1086321.html,2 pk,2 wc,có,có,West Gate Park
4,2000000000, 70m,Cần bán căn hộ chung cư,17/06/2023,Sổ hồng/ Sổ đỏ,2 pn,7m,10m,https://alomuabannhadat.vn/ban-can-ho-hope-residence-phuc-dong-70m2-2pn-nhinh-2-ty-1095985.html,2 pk,2 wc,không,không,None
5,3E+15, 106m,Cần bán căn hộ chung cư,14/06/2023,Sổ hồng/ Sổ đỏ,3 pn,0m,0m,https://alomuabannhadat.vn/so-huu-ngay-can-ho-cao-cap-mat-duong-to-huu-view-ho-me-tri-chi-voi-37-ty-1095854.html,3 pk,2 wc,có,không,None
6,2E+15, 44m,Cần bán căn hộ chung cư,1/2/2023,Sổ hồng/ Sổ đỏ,1 pn,0m,0m,https://alomuabannhadat.vn/can-ho-the-maris-vung-tau-1pn-2pn-view-bien-chiet-khau-nhieu-nhat-2023-1062483.html,1 pk,1 wc,có,không,The Maris
7,4E+15, 92m,Cần bán căn hộ chung cư,31/01/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/ban-chung-cu-song-hong-park-view-165-thai-ha-dt-92m2-3pn-41-ty-lh-0912442669-1062190.html,0 pk,0 wc,không,không,None
8,4E+15, 87m,Cần bán căn hộ chung cư,12/6/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/chung-cu-6th-element-nguyen-van-huyen-tay-ho-87m2-2-ngu-2vs-sdcc-1095781.html,2 pk,2 wc,không,không,None
9,944000000, 59m,Cần bán căn hộ chung cư,12/6/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/ban-can-ho-2pn-59m2-tai-bau-tram-lien-chieu-da-nang-1095797.html,2 pk,2 wc,không,không,None
10,2E+15, 90m,Cần bán căn hộ chung cư,9/6/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/doc-quyen-dat-nen-sky-riverside-long-an-90-300m2-26-trm2-ck-cao-vay-80-1095662.html,0 pk,0 wc,không,có,None
11,1E+15, 49m,Cần bán căn hộ chung cư,6/6/2023,Sổ hồng/ Sổ đỏ,1 pn,0m,0m,https://alomuabannhadat.vn/can-ho-tumys-home-phu-my-1pn2pn3pn-gia-14-ty-ck-3-vay-den-70-1095518.html,1 pk,1 wc,có,không,None
12,2E+15, 48m,Cần bán căn hộ chung cư,25/02/2023,Sổ hồng/ Sổ đỏ,1 pn,0m,0m,https://alomuabannhadat.vn/chi-can-30-nhan-su-dung-the-song-vung-tau-can-1pn-2pn-3pn-gia-25-ty-1069301.html,1 pk,1 wc,có,có,The Sóng
13,83, 83m,Cần bán căn hộ chung cư,10/6/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/ban-can-ho-chung-cu-nghi-duong-vung-tau-melody-2pn-dien-tich-83m2-0937946866-1095708.html,2 pk,2 wc,không,không,Vung Tau Melody
14,1E+15, 49m,Cần bán căn hộ chung cư,13/06/2023,Sổ hồng/ Sổ đỏ,1 pn,0m,0m,https://alomuabannhadat.vn/gio-hang-tumys-phu-my-1pn2pn3pn-gia-14-ty-ck-3-vay-70-1095814.html,1 pk,1 wc,có,không,None
15,5E+15, 130m,Cần bán căn hộ chung cư,13/06/2023,Sổ hồng/ Sổ đỏ,3 pn,17m,8m,https://alomuabannhadat.vn/anh-chu-nho-ban-can-ho-3-ngu-toa-hei-tower-so-1-nguy-nhu-kon-tum-130m2-voi-gia-51-ty-1095817.html,3 pk,3 wc,không,không,BRG Diamond Residence
16,32000000000, 1000m,Cần bán căn hộ chung cư,18/04/2023,Sổ hồng/ Sổ đỏ,22 pn,50m,20m,https://alomuabannhadat.vn/ban-khach-san-tam-huyet-gia-do-no-ngay-bien-vinh-hai-nha-trang-lh-0985451850-xuyen-1078448.html,22 pk,2 wc,không,không,Giáng Hương
17,3E+15, 71m,Cần bán căn hộ chung cư,8/6/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/ban-can-ho-chung-cu-scenic-valley1-phu-my-hung-phuong-tan-phong-quan-7-1095624.html,2 pk,2 wc,có,có,Scenic Valley
18,0,,Cần bán căn hộ chung cư,9/6/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/icon40-can-ho-view-bien-tai-trung-tam-ha-long-gia-chi-11-ty-0965524396-1095668.html,0 pk,0 wc,không,không,Pearl Villas
19,2E+15, 72m,Cần bán căn hộ chung cư,9/6/2023,Sổ hồng/ Sổ đỏ,2 pn,15m,5m,https://alomuabannhadat.vn/chu-gui-ban-can-chung-cu-tsq-euroland-mo-lao-72m2-tong-2-phong-ngu-gia-chao-25-ty-1095692.html,2 pk,1 wc,không,không,None
20,1E+15, 55m,Cần bán căn hộ chung cư,25/01/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/bcons-city-thap-green-topaz-gia-re-350-trieu-so-huu-ngay-can-ho-2-pn-1060755.html,2 pk,0 wc,không,không,Bcons Plaza
21,1E+15, 51m,Cần bán căn hộ chung cư,19/04/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/bcons-green-view-gia-re-1-ty6-co-so-1078787.html,0 pk,0 wc,không,không,Bcons Green View
22,3E+15, 38m,Cần bán căn hộ chung cư,25/05/2023,Sổ hồng/ Sổ đỏ,1 pn,0m,0m,https://alomuabannhadat.vn/chi-can-639-trieu-so-huu-ngay-can-ho-khach-san-view-bien-charm-resort-ho-tram-1094404.html,1 pk,1 wc,có,có,Charm Hồ Tràm Resort
23,2E+15, 59m,Cần bán căn hộ chung cư,30/05/2023,Sổ hồng/ Sổ đỏ,2 pn,10m,6m,https://alomuabannhadat.vn/ket-tien-cat-lo-ch-2pn-doi-dien-ubnd-sap-ban-giao-gan-pmh-1095374.html,2 pk,2 wc,không,không,West Gate Park
24,2E+15, 89m,Cần bán căn hộ chung cư,31/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/ban-can-ho-2pn-89m2-full-noi-that-tang-cao-linh-tay-tower-1095394.html,2 pk,2 wc,không,không,None
25,300000000, 70m,Cần bán căn hộ chung cư,31/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/khong-gian-song-day-cam-hung-tai-moonbay-residence-1095407.html,2 pk,2 wc,không,không,Cát Bi Plaza
26,3E+15, 71m,Cần bán căn hộ chung cư,1/6/2023,Sổ hồng/ Sổ đỏ,2 pn,1m,1m,https://alomuabannhadat.vn/ban-can-ho-du-an-thu-duc-gia-tot-2pn-71-m2-tang-trung-du-an-urban-green-lh-0835379247-gap-phuc-1095436.html,2 pk,2 wc,không,không,None
27,7E+15, 50m,Cần bán căn hộ chung cư,2/6/2023,Sổ hồng/ Sổ đỏ,1 pn,7m,7m,https://alomuabannhadat.vn/ban-ccmn-pho-nguyen-chi-thanh-50m-6tg-mt-7m-chi-74-ty-1095457.html,1 pk,11 wc,không,không,Hateco La Roma
28,1E+15, 52m,Cần bán căn hộ chung cư,31/05/2023,Sổ hồng/ Sổ đỏ,2 pn,8m,7m,https://alomuabannhadat.vn/ban-chung-cu-ruby-phuc-loi-long-bien-chan-cau-phu-dong-1095404.html,2 pk,2 wc,không,không,Berriver Long Biên
29,7000000000, 67m,Cần bán căn hộ chung cư,2/6/2023,Sổ hồng/ Sổ đỏ,4 pn,13m,6m,https://alomuabannhadat.vn/khu-vip-ban-nha-hxh-duong-dan-chu-binh-tho-td-dt-67m2-nha-moi-xach-vali-o-ngay-gia-nhinh-7-ty-tl-manh-1095462.html,4 pk,3 wc,không,không,4S Riverside Linh Đông
